순번,단지명,회사명,시군구,소재지,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
1039,주안국가산업단지,(주)유경,미추홀구,"인천광역시 미추홀구 석정로347번길 78 (주안동, (주)삼광물류)",,3,29294,29294,주형 및 금형 제조업,금형제작
1040,주안국가산업단지,두잉산업,미추홀구,"인천광역시 미추홀구 염전로 365,한국크라운 內 (주안동)",,1,29193,29193,분사기 및 소화기 제조업,고압세척기자동차. 식품바닥세척
1041,주안국가산업단지,누리공사,미추홀구,인천광역시 미추홀구 방축로 312 (주안동) 1동 9층 910호,,1,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,"플라스틱 창틀, 금속 창틀"
1042,주안국가산업단지,(주)하나그래픽,미추홀구,"인천광역시 미추홀구 방축로 312, 6층 제이타워2차 618/619/620호 (주안동)",,10,18111,18111,경 인쇄업,광고물 인쇄
1043,주안국가산업단지,(주)씨엔에스전기통신,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 211호 (주안동)",,5,26421,"26421, 28422",방송장비 제조업 외 1 종,"cctv, 선박용 투광등"
1044,주안국가산업단지,케이엠(KM)스프링,미추홀구,"인천광역시 미추홀구 염전로 330, 9층 913 (주안동)",,1,25943,25943,금속 스프링 제조업,금속스프링
1045,주안국가산업단지,(주)만우,미추홀구,"인천광역시 미추홀구 염전로 330, 7층 716,717,718,719호,5층 502호 (주안동)",,19,14191,"14111, 14112, 14191, 14192",셔츠 및 블라우스 제조업 외 3 종,의류
1046,주안국가산업단지,세이프 조인,미추홀구,"인천광역시 미추홀구 염전로 330, 1동 9층 919 (주안동)",,4,28903,"22299, 28903",교통 신호장치 제조업 외 1 종,"교통안전시스템, PC커버(도로표지병 뚜껑)"
1047,주안국가산업단지,진명레이져,미추홀구,인천광역시 미추홀구 염전로 365 (주안동),,1,26295,26295,전자감지장치 제조업,자동차센서 부품
1048,주안국가산업단지,(주)맥쏘,미추홀구,"인천광역시 미추홀구 염전로 330, 2층 210호(주안동, 주안 J Tower 1차  지식산업센터)",,1,21300,21300,의료용품 및 기타 의약 관련제품 제조업,의료용밴드
1049,주안국가산업단지,성진파워셀,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 720호 (주안동)",,2,28119,28119,기타 전기 변환장치 제조업,배터리팩
1050,주안국가산업단지,비상,미추홀구,"인천광역시 미추홀구 염전로 330, 9층 907 (주안동)",,1,25999,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,주방용품
1051,주안국가산업단지,호산나 미디어텍,미추홀구,"인천광역시 미추홀구 염전로 330, 2층 204,205 (주안동)",,2,26529,26529,기타 음향기기 제조업,스피커
1052,주안국가산업단지,씨엔케이미디어,미추홀구,"인천광역시 미추홀구 방축로 312, 5층 527 (주안동)",,2,18121,18121,제판 및 조판업,"사진액자, 머크컵 인쇄제품"
1053,주안국가산업단지,디에이치테크,미추홀구,"인천광역시 미추홀구 방축로 312, 1동 8층 801호(주안동) 외 1필지",,2,28119,28119,기타 전기 변환장치 제조업,컨버터
1054,주안국가산업단지,신성LED조명,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 801호 (주안동)",,2,28119,28119,기타 전기 변환장치 제조업,컨버터
1055,주안국가산업단지,유벨리타,미추홀구,"인천광역시 미추홀구 염전로 330, 12층 1211 (주안동)",,1,20492,20492,가공 및 정제염 제조업,천연재료혼합소금
1056,주안국가산업단지,에스툴코리아,미추홀구,"인천광역시 미추홀구 방축로 312, 9층 901 (주안동)",,1,28909,28909,그 외 기타 전기장비 제조업,초음파 세척기
1057,주안국가산업단지,다올림,미추홀구,"인천광역시 미추홀구 방축로 312, 1층 103 (주안동)",,0,25932,25932,일반철물 제조업,인테리어 철제 스탠드
1058,주안국가산업단지,환테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 313호 (주안동)",,2,25929,25929,그 외 기타 금속가공업,자동화기기부품
1059,주안국가산업단지,나무in,미추홀구,"인천광역시 미추홀구 염전로 330, 9층 915 (주안동)",,2,16292,16292,장식용 목제품 제조업,장식용품
1060,주안국가산업단지,헤브론전자,미추홀구,"인천광역시 미추홀구 염전로 365,주안5동 1402-1 (주안동)",,1,29163,29163,컨베이어장치 제조업,컨베이어 장치
1061,주안국가산업단지,(주)유진기업,미추홀구,인천광역시 미추홀구 길파로 78 (주안동) (주)동양엔지니어링,,5,29150,"28511, 29150","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",상업용 오븐
1062,주안국가산업단지,휠라이프코리아,미추홀구,"인천광역시 미추홀구 염전로 336, 501-E호 (주안동)",,3,16292,16292,장식용 목제품 제조업,목재가공품
1063,주안국가산업단지,코스모하이텍,미추홀구,"인천광역시 미추홀구 방축로 312, 5층 529 (주안동)",,1,26299,26299,그 외 기타 전자부품 제조업,"태양광 충전제어기, 전자미용기기 등"
1064,주안국가산업단지,GJ기술,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 725호 (주안동)",,1,25924,25924,절삭가공 및 유사처리업,부품가공
1065,주안국가산업단지,다올테크놀로지,미추홀구,"인천광역시 미추홀구 방축로 312, 7층 718 (주안동)",,6,29271,29271,반도체 제조용 기계 제조업,반도체 제조용 설비
1066,주안국가산업단지,(주)씨케이알티,미추홀구,인천광역시 미추홀구 주염로73번길 26 (주안동),,7,26222,26222,경성 인쇄회로기판 제조업,인쇄회로기판
1067,주안국가산업단지,주식회사 라이시스,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 1003호 (주안동)",,2,28429,28429,기타 조명장치 제조업,LED조명기기
1068,주안국가산업단지,(주)이지누들,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 820호 (주안동)",,2,10730,10730,"면류, 마카로니 및 유사식품 제조업",냉동면류
1069,주안국가산업단지,리더스테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 509호 (주안동)",,0,29223,29223,금속 절삭기계 제조업,"기계조립기, 검사기"
1070,주안국가산업단지,오에이치,미추홀구,"인천광역시 미추홀구 방축로 312, 4층 407 (주안동)",,4,10742,10742,천연 및 혼합조제 조미료 제조업,프렌차이즈용 다데기 제조
1071,주안국가산업단지,(주)루미웍스,미추홀구,"인천광역시 미추홀구 방축로 312, 7층 724호 (주안동)",,3,28422,"28123, 28422, 28423, 28429",일반용 전기 조명장치 제조업 외 3 종,조명기구 및 컨트롤러
1072,주안국가산업단지,우일시스템,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 지식산업센터 (주안동) 1동 9층 924호",,1,28123,28123,배전반 및 전기 자동제어반 제조업,"mcc제어반, 자동화 제어반"
1073,주안국가산업단지,이제이내셔널,미추홀구,"인천광역시 미추홀구 염전로 330, 6층 614 (주안동)",,3,28123,28123,배전반 및 전기 자동제어반 제조업,배전반
1074,주안국가산업단지,금광화학,미추홀구,"인천광역시 미추홀구 염전로 330, 2층 207 (주안동)",,2,22231,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",비닐봉투
1075,주안국가산업단지,태성U.V산업,미추홀구,"인천광역시 미추홀구 방축로 374 (주안동, 금호유니드공장)",,15,22251,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,임대
1076,주안국가산업단지,필드메카,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 923호 (주안동)",02-2066-8942,4,28123,28123,배전반 및 전기 자동제어반 제조업,자동제어반
1077,주안국가산업단지,이앤씨케이블(주)인천지사,미추홀구,"인천광역시 미추홀구 염전로 330, 4층 418 (주안동)",02-3666-3033,8,28302,"28301, 28302",기타 절연선 및 케이블 제조업 외 1 종,"절연케이블,광케이블"
1078,주안국가산업단지,다우전자통신(주),미추홀구,"인천광역시 미추홀구 방축로 312, 9층 902 (주안동)",02-6336-3200,6,26410,"26410, 26421, 28422",유선 통신장비 제조업 외 2 종,"비상전화, 방송장비, 비상구유도등, LED조명"
1079,주안국가산업단지,(주)오션브리즈,미추홀구,"인천광역시 미추홀구 방축로 312, 7층 702호 (주안동)",031-411-4518,2,20423,20423,화장품 제조업,"샴푸, 화장품"
1080,주안국가산업단지,한국표면화학 주식회사,미추홀구,인천광역시 미추홀구 주염로73번길 25 (주안동),031-431-1848,8,20499,"20499, 25929",그 외 기타 분류 안된 화학제품 제조업 외 1 종,금속 표면 처리제
1081,주안국가산업단지,(주)시원광기술,미추홀구,"인천광역시 미추홀구 염전로 330, 4층 412호 (주안동)",031-479-6021,16,27192,"27192, 27309",정형외과용 및 신체보정용 기기 제조업 외 1 종,"렌즈, 광학부품"
1082,주안국가산업단지,(주)이에스이,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 813호 (주안동)",031-686-7217,6,29271,29271,반도체 제조용 기계 제조업,반도체장비 및 IT장비
1083,주안국가산업단지,주식회사 보람미트 농업회사법인,미추홀구,"인천광역시 미추홀구 염전로 330, 9층 910 (주안동)",032-201-6720,7,10122,10122,육류 포장육 및 냉동육 가공업 (가금류 제외),돼지왕구이
1084,주안국가산업단지,성산테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 405호 (주안동)",032-203-3357,1,25924,25924,절삭가공 및 유사처리업,기계부품가공
1085,주안국가산업단지,(주)액세스타2공장,미추홀구,인천광역시 미추홀구 주염로73번길 39 (주안동) 외 2필지,032-205-8066,5,26422,26422,이동전화기 제조업,휴대폰 악세사리
1086,주안국가산업단지,(주)피스티스,미추홀구,"인천광역시 미추홀구 염전로 330, 7층 706,707호, 주안제이타워1차 (주안동)",032-216-2828,4,27191,27191,치과용 기기 제조업,치과용기기(가공기)
1087,주안국가산업단지,도현테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 721호 (주안동)",032-219-0348,1,28123,28123,배전반 및 전기 자동제어반 제조업,전기제어반
1088,주안국가산업단지,레티나메디칼,미추홀구,"인천광역시 미추홀구 방축로 312, 5층 518 (주안동)",032-223-2028,3,27199,27199,그 외 기타 의료용 기기 제조업,의료기기
1089,주안국가산업단지,(주)엘이디솔루션,미추홀구,"인천광역시 미추홀구 염전로 336, 201호 (주안동)",032-225-3316,21,26224,"26224, 28422, 28423, 28903",전자부품 실장기판 제조업 외 3 종,"PCB SMT 실장, 조명기구, LED조명기구, 바닥형보행신호등"
1090,주안국가산업단지,파트너 홈 디자인,미추홀구,"인천광역시 미추홀구 방축로 312, 2차동 8층 815호 (주안동)",032-265-7971,5,32029,32029,기타 목재가구 제조업,시스템 드레스룸
1091,주안국가산업단지,파트너홈디자인,미추홀구,"인천광역시 미추홀구 방축로 312, 8층 803 (주안동)",032-265-7971,3,32029,32029,기타 목재가구 제조업,시스템 드레스룸
1092,주안국가산업단지,제이씨엔지니어링 주식회사,미추홀구,"인천광역시 미추홀구 방축로 312, B1층 04 (주안동)",032-268-5177,2,28123,"28123, 28909, 29175",배전반 및 전기 자동제어반 제조업 외 2 종,"오존발생기, 컨트롤판넬, 상하수 정화장비"
1093,주안국가산업단지,영민,미추홀구,"인천광역시 미추홀구 방축로 312, 4층 430 (주안동)",032-321-6659,2,27216,27216,산업처리공정 제어장비 제조업,분체정량공급장치
1094,주안국가산업단지,(주)엔엘코리아,미추홀구,"인천광역시 미추홀구 염전로 330, 9층 908 (주안동)",032-323-1452,3,26121,"26121, 26129",발광 다이오드 제조업 외 1 종,"아르곤 레이저, 켄싱턴 로봇"
1095,주안국가산업단지,도원테크,미추홀구,"인천광역시 미추홀구 염전로 330, 7층 708 (주안동)",032-345-4708,1,27216,27216,산업처리공정 제어장비 제조업,자동화장비
1096,주안국가산업단지,(주)진성하이테크놀로지,미추홀구,"인천광역시 미추홀구 염전로 330, 8층 816,817,818,819호 (주안동)",032-362-2020,30,28121,28121,"전기회로 개폐, 보호장치 제조업",컨트롤판넬
1097,주안국가산업단지,(주)진성하이테크놀로지,미추홀구,"인천광역시 미추홀구 방축로 312, 7층 711 (주안동) 외 2필지",032-362-2020,55,28121,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종",기어박스
1098,주안국가산업단지,제이투디자인퍼니처,미추홀구,인천광역시 미추홀구 길파로 82 (주안동),032-421-5955,7,32019,32019,소파 및 기타 내장가구 제조업,가구
1099,주안국가산업단지,(주)에코어스,미추홀구,인천광역시 미추홀구 염전로 365 (주안동),032-425-5991,0,13999,13999,그 외 기타 분류 안된 섬유제품 제조업,면생리대
1100,주안국가산업단지,동아사,미추홀구,"인천광역시 미추홀구 방축로 312, 3층 314 (주안동) 3층 314호 주안제이타워2차 314호",032-426-3232,3,18111,"18111, 58190",경 인쇄업 외 1 종,인쇄물
1101,주안국가산업단지,다빛,미추홀구,"인천광역시 미추홀구 염전로 330, 4층 401호 (주안동)",032-429-4851,4,16292,16292,장식용 목제품 제조업,목재 장신구
1102,주안국가산업단지,보창기전,미추홀구,"인천광역시 미추홀구 염전로 330, 4층 408호 (주안동)",032-431-0150,3,28121,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종",철제케이스
1103,주안국가산업단지,(주)해모,미추홀구,"인천광역시 미추홀구 방축로 312, 8층 817 (주안동) 8층 817호 주안제이타워2차 817호 외 2필지",032-431-3700,12,25992,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,주방용품(수저류)
1104,주안국가산업단지,유림전자,미추홀구,"인천광역시 미추홀구 염전로 365,(주)한국크라운 내 207호, 208호 (주안동)",032-432-1876,0,26294,26294,"전자코일, 변성기 및 기타 전자 유도자 제조업","전자코일 , 변성기"
1105,주안국가산업단지,경원디앤티,미추홀구,"인천광역시 미추홀구 방축로 312, 5층 503호 (주안동)",032-432-6626,2,29199,29199,그 외 기타 일반목적용 기계 제조업,시험 치구 장비
1106,주안국가산업단지,(주)베스라이트,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 409호 (주안동)",032-434-0004,6,28422,"18111, 28422, 28423, 33910",일반용 전기 조명장치 제조업 외 3 종,"LED투광기, 카다로그, 일반간판, 광고조명기구"
1107,주안국가산업단지,도고테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 809호 (주안동)",032-434-8260,0,26224,"26223, 26224",전자부품 실장기판 제조업 외 1 종,PCB실장
1108,주안국가산업단지,도고테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 806호 (주안동)",032-434-8260,5,26224,"26223, 26224",전자부품 실장기판 제조업 외 1 종,PCB실장
1109,주안국가산업단지,대상정밀,미추홀구,"인천광역시 미추홀구 방축로 312, 3층 318 (주안동)",032-435-0242,2,25924,25924,절삭가공 및 유사처리업,전자부품 가공
1110,주안국가산업단지,대상조경,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 521호 (주안동)",032-435-7564,3,25119,25119,기타 구조용 금속제품 제조업,분수자재
1111,주안국가산업단지,대산실업,미추홀구,"인천광역시 미추홀구 염전로 330, 3층 306호 (주안동)",032-437-5273,1,25929,25929,그 외 기타 금속가공업,"전자,자동차부품 등"
1112,주안국가산업단지,(주)디콘,미추홀구,"인천광역시 미추홀구 염전로 330, 4층 407호(주안동, 주안 J Tower 1차  지식산업센터)",032-437-6338,1,33910,"33910, 71391",간판 및 광고물 제조업 외 1 종,공공기관 안내판
1113,주안국가산업단지,(주)서우기전,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 513호 (주안동)",032-438-5072,33,28123,28123,배전반 및 전기 자동제어반 제조업,승강기 제어반
1114,주안국가산업단지,(주)서우기전,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 514호 (주안동)",032-438-5072,33,28123,28123,배전반 및 전기 자동제어반 제조업,승강기 제어반
1115,주안국가산업단지,(주)서우기전,미추홀구,"인천광역시 미추홀구 방축로 312, 5층 515호 (주안동) 주안제이타워2차 514호",032-438-5072,33,28123,28123,배전반 및 전기 자동제어반 제조업,승강기 제어반
1116,주안국가산업단지,(주)서우기전,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 516호 (주안동)",032-438-5072,33,28123,28123,배전반 및 전기 자동제어반 제조업,승강기 제어반
1117,주안국가산업단지,(주)서우기전,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 517호 (주안동)",032-438-5072,33,28123,28123,배전반 및 전기 자동제어반 제조업,승강기제어반
1118,주안국가산업단지,(주)포브텍,미추홀구,인천광역시 미추홀구 방축로 366 (주안동),032-438-8585,8,26529,"26421, 26429, 26529, 28423",기타 음향기기 제조업 외 3 종,"스피커,CCTV, 전광판"
1119,주안국가산업단지,에스앤피엘(주),미추홀구,인천광역시 미추홀구 주염로73번길 16 (주안동),032-4582-0574,0,25924,25924,절삭가공 및 유사처리업,반도체부품임가공
1120,주안국가산업단지,비엘테크전자,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 726호 (주안동)",032-463-0455,15,26299,"26299, 27199",그 외 기타 전자부품 제조업 외 1 종,의료부품
1121,주안국가산업단지,(주)동아전업공사,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 312호 (주안동)",032-463-6023,9,28123,28123,배전반 및 전기 자동제어반 제조업,배전반
1122,주안국가산업단지,금수산업(주),미추홀구,"인천광역시 미추홀구 방축로 378 (주안동, 금수산업(주))",032-464-1082,28,29150,"25113, 25114, 29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 3 종",전기로 부대시설
1123,주안국가산업단지,동양정밀,미추홀구,"인천광역시 미추홀구 염전로 312 (주안동, 동양정밀)",032-464-6123,4,29294,29294,주형 및 금형 제조업,정밀금형
1124,주안국가산업단지,(주)큐네스글로벌,미추홀구,"인천광역시 미추홀구 염전로 336, 5층 507호 (주안동)",032-464-7208,2,29294,29294,주형 및 금형 제조업,금형
1125,주안국가산업단지,현진테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 903호 (주안동)",032-466-0941,2,29163,29163,컨베이어장치 제조업,컨베이어장치
1126,주안국가산업단지,현진산업,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 909호 (주안동)",032-467-7049,2,25943,"24290, 25943",금속 스프링 제조업 외 1 종,스프링
1127,주안국가산업단지,대원이엔티(주),미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 630호 (주안동)",032-468-2212,3,29199,29199,그 외 기타 일반목적용 기계 제조업,교반기 회전기 부품
1128,주안국가산업단지,ICM,미추홀구,"인천광역시 미추홀구 길파로41번길 88 (주안동, 주식회사 클레슨)",032-468-2771,5,27214,27214,속도계 및 적산계기 제조업,"디지털 열량계, 수도미터"
1129,주안국가산업단지,(주)아큐코리아,미추홀구,"인천광역시 미추홀구 주염로73번길 67,주안동 1402-3번지 (주안동)",032-469-8803,0,25934,25934,톱 및 호환성 공구 제조업,쏘 블레이드
1130,주안국가산업단지,이온테크,미추홀구,"인천광역시 미추홀구 염전로 330, 6층 618 (주안동)",032-502-2497,4,28123,28123,배전반 및 전기 자동제어반 제조업,자동제어반
1131,주안국가산업단지,천지엔지니어링,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 504호 (주안동)",032-504-2073,2,25913,25913,자동차용 금속 압형제품 제조업,자동차 도아 조립부품
1132,주안국가산업단지,(주)미래주방산업,미추홀구,"인천광역시 미추홀구 방축로 380 (주안동, 보성정밀)",032-504-8865,15,25992,25992,수동식 식품 가공기기 및 금속 주방용기 제조업,주방용 선바
1133,주안국가산업단지,엘리트다이아,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 505호 (주안동)",032-505-1813,3,25929,25929,그 외 기타 금속가공업,다이아절삭공구
1134,주안국가산업단지,(주)유에스알랩,미추홀구,"인천광역시 미추홀구 염전로 330, 1층 [임차]610, 611호(주안동) 외 1필지",032-505-6541,11,33202,"33202, 70129",전자 악기 제조업 외 1 종,피아노 silencer system
1135,주안국가산업단지,대은정밀,미추홀구,"인천광역시 미추홀구 방축로 312, B1층 07 (주안동) 주안제이타워2차 B07호",032-505-9841,3,25914,25914,그 외 금속 압형제품 제조업,엘리베이터 부품
1136,주안국가산업단지,다성테크,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 709호 (주안동)",032-505-9966,4,25924,25924,절삭가공 및 유사처리업,자동차부품
1137,주안국가산업단지,유큐테크놀로지(주),미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 1015호 (주안동)",032-506-0525,4,26429,26429,기타 무선 통신장비 제조업,"이동통신용 안테나, 통신장비(중계기) 등"
1138,주안국가산업단지,(주)티원,미추홀구,"인천광역시 미추홀구 염전로 330, 11층 1118 (주안동)",032-506-5723,3,26299,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,반도체장비 제어기기
1139,주안국가산업단지,헵시바 주식회사,미추홀구,"인천광역시 미추홀구 길파로71번길 86 (주안동, 헵시바(주))",032-509-5914,48,29172,"26410, 27219, 28114, 28119, 28422, 28512, 29172, 29174, 29175, 29222, 29292",공기 조화장치 제조업 외 10 종,"에어컨 및 부품,전기스토브"
1140,주안국가산업단지,우신공조(주),미추홀구,"인천광역시 미추홀구 길파로71번길 86 (주안동, 헵시바(주))",032-514-8088,45,29172,"28422, 29172, 29174",공기 조화장치 제조업 외 2 종,"원적외선히터, 산업용이동식에어컨, 태양광가로등"
1141,주안국가산업단지,대경산업,미추홀구,"인천광역시 미추홀구 방축로 364 (주안동, 주1동)",032-516-2740,7,25929,25929,그 외 기타 금속가공업,의료기기 제료
1142,주안국가산업단지,정수테크,미추홀구,인천광역시 미추홀구 주염로73번길 12 (주안동),032-517-8574,3,25913,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,LCD케이스 외
1143,주안국가산업단지,세이전자,미추홀구,"인천광역시 미추홀구 염전로 330, 10층 1009,1010,1011,1012,1013 (주안동)",032-518-1274,11,28119,"28114, 28119",기타 전기 변환장치 제조업 외 1 종,어댑터 및 전기제품
1144,주안국가산업단지,신용와이어컷팅,미추홀구,"인천광역시 미추홀구 염전로 330, 2층 208 (주안동)",032-519-8718,2,29294,29294,주형 및 금형 제조업,금형
1145,주안국가산업단지,영동정밀공업,미추홀구,"인천광역시 미추홀구 방축로 312, 4층 412 (주안동)",032-521-7601,4,29294,29294,주형 및 금형 제조업,금형
1146,주안국가산업단지,동성전자,미추홀구,"인천광역시 미추홀구 방축로 312, 주안 제이타워2차 926호 (주안동)",032-521-9617,2,28112,28112,변압기 제조업,"트랜스포머, 리엑터코일"
1147,주안국가산업단지,(주)도호세미텍,미추홀구,"인천광역시 미추홀구 주염로73번길 24 (주안동, (주) 도호세미텍)",032-525-9570,8,29271,29271,반도체 제조용 기계 제조업,반도체장비
1148,주안국가산업단지,두손정밀,미추홀구,"인천광역시 미추홀구 석정로347번길 66 (주안동, 대광산업)",032-528-4007,4,25932,25932,일반철물 제조업,경첩 외
1149,주안국가산업단지,주식회사 신성에프엠,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 506호 (주안동)",032-539-7552,0,27214,27214,속도계 및 적산계기 제조업,"유량계, 적산계"
1150,주안국가산업단지,성지반도체,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 423호 (주안동)",032-547-3978,1,25929,25929,그 외 기타 금속가공업,반도체 부품
1151,주안국가산업단지,거송MFG,미추홀구,인천광역시 미추홀구 길파로 86 (주안동),032-561-0521,5,28520,28520,가정용 비전기식 조리 및 난방 기구 제조업,업소용가스렌지
1152,주안국가산업단지,(주)월드미디어,미추홀구,"인천광역시 미추홀구 염전로 365, 206호 (주안동)",032-563-0001,5,26421,"26421, 26529",방송장비 제조업 외 1 종,"앰프, 전광판, CCTV"
1153,주안국가산업단지,목공닷컴,미추홀구,"인천광역시 미추홀구 주염로73번길 54, 2층 206호(주안동)",032-564-9800,2,29229,29229,기타 가공 공작기계 제조업,자동화기계
1154,주안국가산업단지,(주)픽스로봇,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 824호 (주안동)",032-569-8818,2,29269,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업",인공지능 재봉기
1155,주안국가산업단지,(주)태일테크,미추홀구,인천광역시 미추홀구 길파로71번길 12 (주안동),032-571-0390,202,28302,"28302, 30391, 30392, 30399, 30400",기타 절연선 및 케이블 제조업 외 4 종,wire harness(와이어하네스)
1156,주안국가산업단지,(주)에이스라이팅,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 510호 (주안동)",032-572-2034,3,28422,28422,일반용 전기 조명장치 제조업,LED등기구
1157,주안국가산업단지,중앙내진ENG,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 113호 (주안동) 외 1필지",032-572-6777,1,25112,25112,구조용 금속 판제품 및 공작물 제조업,흔들림 방지 버팀대
1158,주안국가산업단지,(주)데오디오,미추홀구,"인천광역시 미추홀구 염전로 330, 10층 417호,1001,1002,1003,1008호 (주안동)",032-572-7361,3,26529,"26529, 70121",기타 음향기기 제조업 외 1 종,자동차 음향기기
1159,주안국가산업단지,건우피씨비(주),미추홀구,인천광역시 미추홀구 주염로73번길 26 (주안동),032-573-1339,9,26222,26222,경성 인쇄회로기판 제조업,인쇄회로기판(PCB)
1160,주안국가산업단지,Kc H. J물류,미추홀구,"인천광역시 미추홀구 염전로 330, 8층 801,802,803호 (주안동)",032-573-1835,14,14191,"14191, 14192",셔츠 및 블라우스 제조업 외 1 종,의류
1161,주안국가산업단지,백연TLB,미추홀구,"인천광역시 미추홀구 방축로 312, 1층 109 (주안동) 주안제이타워2차 109호 외 1필지",032-573-3153,1,28422,28422,일반용 전기 조명장치 제조업,LED조명기기
1162,주안국가산업단지,(주)유에스이,미추홀구,"인천광역시 미추홀구 주염로73번길 55,(주)유에스이 (주안동)",032-574-1933,22,30331,"24321, 30331, 30400",자동차용 신품 동력전달장치 제조업 외 2 종,자동변속기 부품(피스톤 등)
1163,주안국가산업단지,우상엔지니어링,미추홀구,"인천광역시 미추홀구 주염로73번길 55 (주안동, 나성기연)",032-574-1933,15,30331,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,"Shift Block, Lever 등"
1164,주안국가산업단지,피앤티시스템(주),미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 722호 (주안동)",032-574-3108,5,28123,28123,배전반 및 전기 자동제어반 제조업,배전반
1165,주안국가산업단지,서진에이엘공업(주),미추홀구,인천광역시 미추홀구 주염로73번길 25 (주안동),032-575-2258,3,24290,24290,기타 1차 비철금속 제조업,알루미늄 히트씽크
1166,주안국가산업단지,(주)동인금속공업,미추홀구,인천광역시 미추홀구 염전로 326 (주안동),032-575-3333,8,25941,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,"볼트, 피스, 나사못"
1167,주안국가산업단지,나우시스템,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 601호 (주안동)",032-575-7021,11,28123,28123,배전반 및 전기 자동제어반 제조업,모터제어기
1168,주안국가산업단지,나우시스템,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 602호 (주안동)",032-575-7021,0,28123,28123,배전반 및 전기 자동제어반 제조업,모터제어기
1169,주안국가산업단지,(주)미래기계,미추홀구,인천광역시 미추홀구 길파로 60 (주안동) (주)미래기계,032-575-8676,25,29299,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,"자동화 설비(엔진, 밋션 조립설비)"
1170,주안국가산업단지,신화기전,미추홀구,"인천광역시 미추홀구 방축로 312, 주안제이타워2차 522호 (주안동)",032-576-0762,2,28123,28123,배전반 및 전기 자동제어반 제조업,산업용제어기기
1171,주안국가산업단지,삼명금속,미추홀구,"인천광역시 미추홀구 방축로 312, 1층 119 (주안동) 외 1필지",032-576-6073,2,25924,25924,절삭가공 및 유사처리업,금속가공
